H           H                       H2                                              1.00E+00     0.00      0.0    0.99999.  0     
O           E-                      O-                                              1.50E-15     0.00      0.0   10.41000.  5 C RR
C2H2        HCO+                    CO          C2H3+                               1.40E-09     0.00      0.0   10.41000.  5 A IN
O2          OCN                     CO2         NO                                  1.32E-12     0.00      0.0  298.  298.  5 A NN
HCO2+       E-                      CO2         H                                   6.00E-08    -0.64      0.0   10.  300.  5 A DR
H3O+        C3H2                    C3H3+       H2O                                 3.00E-09    -0.50      0.0   10.41000.  5 C IN
C+          O2                      CO+         O                                   3.80E-10     0.00      0.0   10.41000.  5 A IN
O2                                  O           O                                   1.30E-17     0.00    375.5   10.41000.  2 C CR
He+         O2                      O+          O           He                      1.10E-09     0.00      0.0   10.41000.  5 A IN
CN          O2                      OCN         O                                   1.86E-11    -0.13    -40.0   13. 4526.  5 A NN
NH3         CH3CHOH+                CH3OH       CH2NH2+                             5.00E-10    -0.50      0.0   10.41000.  5 A IN
CH4         HN2+                    N2          CH5+                                8.90E-10     0.00      0.0   10.41000.  5 A IN
C2H2                                C2H         H                                   1.30E-17     0.00   2577.5   10.41000.  2 C CR
HCO+        C3H2                    C3H3+       CO                                  1.40E-09    -0.50      0.0   10.41000.  5 C IN
N           C3H2                    HC3N        H                                   1.00E-13     0.00      0.0   10.  300.  5 C NN
C+          C3H2                    C4H+        H                                   1.00E-09    -0.50      0.0   10.41000.  5 C IN
C+          C3H2                    C4+         H2                                  1.00E-09    -0.50      0.0   10.41000.  5 C IN
H3+         C3H2                    C3H3+       H2                                  2.00E-09    -0.50      0.0   10.41000.  5 C IN
C2H3+       E-                      CH2         CH                                  1.50E-08    -0.84      0.0   50. 1000.  5 A DR
H2C3H+      E-                      C2H2        CH                                  5.00E-08    -0.50      0.0   10.  300.  5 A DR
C2H         O2                      HCO         CO                                  4.00E-12     0.00      0.0   10. 2500.  5 A NN
CO                                  O           C                                   1.30E-17     1.17    105.0   10.41000.  2 C CR
C3                                  C2          C                                   1.30E-17     0.00    559.5   10.41000.  2 C CR
He+         C2H2                    CH+         CH          He                      7.70E-10     0.00      0.0   10.41000.  5 A IN
C2H3+       E-                      C2          H           H2                      1.50E-08    -0.84      0.0   50. 1000.  5 A DR
N2                                  N           N                                   1.30E-17     0.00     25.0   10.41000.  2 A CR
CN          O2                      NO          CO                                  5.01E-12    -0.46     -8.0   13. 1565.  5 B NN
He+         C2H2                    C2H+        He          H                       8.75E-10     0.00      0.0   10.41000.  5 A IN
C2H2                                C2H2+       E-                                  1.30E-17     0.00    654.5   10.41000.  2 C CR
C2H2        O2+                     C2H2+       O2                                  1.11E-09     0.00      0.0   10.41000.  5 B CE
H+          C2H2                    C2H2+       H                                   5.40E-10     0.00      0.0   10.41000.  5 A CE
H3+         C2H2                    C2H3+       H2                                  3.50E-09     0.00      0.0   10.41000.  5 A IN
C+          H2CCCC                  C4H2+       C                                   1.31E-09     0.00      0.0   10.  300.  5 A CE
C3H2+       E-                      C2          CH2                                 3.00E-08    -0.50      0.0   10.  300.  5 C DR
C+          C5H2                    C6+         H2                                  1.20E-09    -0.50      0.0   10.41000.  5 C IN
C+          C2H2                    C3H+        H                                   2.20E-09     0.00      0.0   10.41000.  5 A IN
H2C3H+      E-                      H2CCC       H                                   5.00E-08    -0.50      0.0   10.  300.  5 A DR
CN          C2H2                    HC3N        H                                   2.72E-10    -0.52     19.0   10.  300.  5 A NN
H3O+        H2CO                    H3CO+       H2O                                 3.40E-09    -0.50      0.0   10.41000.  5 A IN
HCO+        H2CO                    H3CO+       CO                                  3.30E-09    -0.50      0.0   10.41000.  5 A IN
CH3+        O2                      H3CO+       O                                   5.00E-12     0.00      0.0   10.41000.  5 C IN
C2H4        HCO+                    C2H5+       CO                                  1.40E-09     0.00      0.0   10.41000.  5 C IN
C+          C2H4                    H2C3H+      H                                   1.02E-09     0.00      0.0   10.41000.  5 A IN
C2H4                                C2H2        H2                                  1.30E-17     0.00   1881.0   10.41000.  2 C CR
H3+         C2H4                    C2H5+       H2                                  1.15E-09     0.00      0.0   10.41000.  5 A IN
H3+         C2H4                    C2H3+       H2          H2                      1.15E-09     0.00      0.0   10.41000.  5 A IN
C+          C2H4                    C3H2+       H2                                  3.40E-10     0.00      0.0   10.41000.  5 A IN
H+          C2H4                    C2H3+       H2                                  3.00E-09     0.00      0.0   10.41000.  5 A IN
He+         C2H4                    C2H2+       He          H2                      2.20E-09     0.00      0.0   10.41000.  5 A IN
H3O+        C2H4                    C2H5OH2+                                        2.40E-14    -2.80      0.0   10.  300.  5 C RA
C2H4                                C2H4+       E-                                  1.30E-17     0.00    389.0   10.41000.  2 C CR
C+          C2H4                    C2H3+       CH                                  8.50E-11     0.00      0.0   10.41000.  5 A IN
C+          C2H4                    C3H+        H2          H                       8.50E-11     0.00      0.0   10.41000.  5 A IN
H+          C2H4                    C2H4+       H                                   1.00E-09     0.00      0.0   10.  300.  5 A CE
He+         CH4                     CH4+        He                                  5.10E-11     0.00      0.0   10.41000.  5 A CE
CH4         C4H3+                   C5H5+       H2                                  5.00E-10     0.00      0.0   10.41000.  5 C IN
HCO+        CH3C4H                  C5H5+       CO                                  2.00E-09     0.00      0.0   10.41000.  5 C IN
C2H4        H2C3H+                  C5H5+       H2                                  1.10E-09     0.00      0.0   10.41000.  5 C IN
HCO+        CH3C6H                  C7H5+       CO                                  2.00E-09     0.00      0.0   10.41000.  5 C IN
C3H3+       H2CCCC                  C7H5+                                           1.00E-13    -2.50      0.0   10.  300.  5 C RA
H2C3H+      H2CCCC                  C7H5+                                           1.00E-13    -2.50      0.0   10.  300.  5 C RA
H3+         CH2CN                   CH3CN+      H2                                  3.70E-09    -0.50      0.0   10.41000.  5 C IN
C+          NH3                     HCN+        H2                                  7.00E-11    -0.50      0.0   10.41000.  5 A IN
C2H2        S+                      HC2S+       H                                   9.50E-10     0.00      0.0   10.41000.  5 C IN
O2          S+                      SO+         O                                   1.50E-11     0.00      0.0   10.41000.  5 A IN
S+          C3H2                    HC3S+       H                                   1.00E-09    -0.50      0.0   10.41000.  5 C IN
HN2+        S                       HS+         N2                                  1.10E-09     0.00      0.0   10.41000.  5 C IN
C+          C3O                     C3+         CO                                  3.33E-10    -0.50      0.0   10.41000.  5 C IN
C2H4+       E-                      C2H2        H2                                  3.36E-08    -0.76      0.0   10.  300.  5 C DR
C2H4+       E-                      CH2         CH2                                 2.24E-08    -0.76      0.0   10.  300.  5 C DR
C+          C3O                     C4+         O                                   3.33E-10    -0.50      0.0   10.41000.  5 C IN
HCO+        C3O                     HC3O+       CO                                  2.00E-09    -0.50      0.0   10.41000.  5 C IN
H3O+        C3O                     HC3O+       H2O                                 1.00E-09    -0.50      0.0   10.41000.  5 C IN
H3+         C3O                     HC3O+       H2                                  2.00E-09    -0.50      0.0   10.41000.  5 C IN
C+          C3O                     C3O+        C                                   3.33E-10    -0.50      0.0   10.41000.  5 C CE
C3O                                 CO          C2                                  1.30E-17     0.00   3304.5   10.41000.  2 C CR
H3C3O+      E-                      C3O         H2          H                       3.00E-07    -0.50      0.0   10.  300.  5 C DR
N           C5H2                    HC5N        H                                   1.00E-13     0.00      0.0   10.  300.  5 C NN
CN          H2CCCC                  HC5N        H                                   2.72E-10    -0.52     19.0   10.  300.  5 C NN
C+          C5H2                    C6H+        H                                   1.20E-09    -0.50      0.0   10.41000.  5 C IN
C2H2        Si+                     SiC2H+      H                                   2.50E-10     0.00      0.0   10.41000.  5 A IN
Si+         C3H2                    SiC3H+      H                                   1.00E-09    -0.50      0.0   10.41000.  5 C IN
P           O2                      PO          O                                   1.00E-13     0.00      0.0  300. 2500.  5 C NN
P+          O2                      PO+         O                                   5.60E-10     0.00      0.0   10.41000.  5 A IN
C2H2        P+                      HC2P+       H                                   1.24E-09     0.00      0.0   10.41000.  5 A IN
O2                                  O2+         E-                                  1.30E-17     0.00     58.5   10.41000.  2 C CR
C+          C6H2                    C7+         H2                                  1.20E-09    -0.50      0.0   10.41000.  5 C IN
C+          C8H2                    C9+         H2                                  1.20E-09    -0.50      0.0   10.41000.  5 C IN
H-          CO                      HCO         E-                                  5.00E-11     0.00      0.0   10.41000.  5 C AD
C3H5+       E-                      C3H3        H2                                  1.50E-07    -0.50      0.0   10.  300.  5 C DR
HCO+        C5H2                    C5H3+       CO                                  2.50E-09    -0.50      0.0   10.41000.  5 C IN
H3+         C5H2                    C5H3+       H2                                  3.00E-09    -0.50      0.0   10.41000.  5 C IN
H+          C5H2                    C5H+        H2                                  2.50E-09    -0.50      0.0   10.41000.  5 C IN
H+          C5H2                    C5H2+       H                                   2.50E-09    -0.50      0.0   10.41000.  5 C CE
C+          CH3C4H                  C6H3+       H                                   2.00E-09     0.00      0.0   10.41000.  5 C IN
H3+         CH3C4H                  C5H5+       H2                                  2.50E-09     0.00      0.0   10.41000.  5 C IN
C+          CH3C4H                  C5H3+       CH                                  7.50E-10     0.00      0.0   10.41000.  5 C IN
C+          CH3C4H                  C6H2+       H2                                  7.50E-10     0.00      0.0   10.41000.  5 C IN
CH3C4H                              C4H         CH3                                 1.30E-17     0.00    750.0   10.41000.  2 A CR
HCO+        C7H2                    C7H3+       CO                                  2.50E-09    -0.50      0.0   10.41000.  5 C IN
N           C7H2                    HC7N        H                                   1.00E-13     0.00      0.0   10.  300.  5 C NN
C+          C7H2                    C8H+        H                                   1.20E-09    -0.50      0.0   10.41000.  5 C IN
C+          C7H2                    C8+         H2                                  1.20E-09    -0.50      0.0   10.41000.  5 C IN
H3+         C7H2                    C7H3+       H2                                  3.00E-09    -0.50      0.0   10.41000.  5 C IN
H+          C7H2                    C7H+        H2                                  2.50E-09    -0.50      0.0   10.41000.  5 C IN
C2H         C5H2                    C7H2        H                                   1.06E-10    -0.25      0.0   10.  300.  5 C NN
H3+         CH3C6H                  C7H5+       H2                                  2.50E-09     0.00      0.0   10.41000.  5 C IN
C+          CH3C6H                  C8H2+       H2                                  7.50E-10     0.00      0.0   10.41000.  5 C IN
C+          CH3C6H                  C7H3+       CH                                  7.50E-10     0.00      0.0   10.41000.  5 C IN
H+          CH3C6H                  C7H3+       H2                                  2.00E-09     0.00      0.0   10.41000.  5 C IN
He+         CH2CN                   CN          CH2+        He                      3.30E-09    -0.50      0.0   10.41000.  5 C IN
S+          H2CCCC                  C4H+        HS                                  1.60E-10     0.00      0.0   10.41000.  5 C IN
C2H4        S+                      C2H3+       HS                                  9.50E-11     0.00      0.0   10.41000.  5 B IN
NH3         HS+                     HS          NH3+                                5.25E-10    -0.50      0.0   10.41000.  5 A CE
C+          SO2                     SO+         CO                                  2.30E-09    -0.50      0.0   10.41000.  5 A IN
He+         SO2                     SO+         O           He                      2.97E-09    -0.50      0.0   10.41000.  5 A IN
O2+         S                       SO+         O                                   5.40E-10     0.00      0.0   10.41000.  5 C IN
NS+         E-                      S           N                                   2.00E-07    -0.50      0.0   10.  300.  5 C DR
C+          SO                      CS+         O                                   2.60E-10    -0.50      0.0   10.41000.  5 C IN
O           SO                      SO2                                             3.20E-16    -1.50      0.0   10.  300.  5 C RA
HCO+        SO                      HSO+        CO                                  7.50E-10    -0.50      0.0   10.41000.  5 C IN
H3+         SO                      HSO+        H2                                  1.90E-09    -0.50      0.0   10.41000.  5 C IN
H+          SO                      SO+         H                                   3.20E-09    -0.50      0.0   10.41000.  5 C CE
C+          SO                      S+          CO                                  2.60E-10    -0.50      0.0   10.41000.  5 C IN
C+          SO                      S           CO+                                 2.60E-10    -0.50      0.0   10.41000.  5 C IN
C+          SO                      SO+         C                                   2.60E-10    -0.50      0.0   10.41000.  5 C CE
HSO+        E-                      SO          H                                   2.00E-07    -0.50      0.0   10.  300.  5 C DR
HSO2+       E-                      SO          O           H                       1.00E-07    -0.50      0.0   10.  300.  5 C DR
HSO2+       E-                      SO          OH                                  1.00E-07    -0.50      0.0   10.  300.  5 C DR
S+          H2CCCC                  HC4S+       H                                   4.80E-10     0.00      0.0   10.41000.  5 C IN
H3O+        SiC                     HCSi+       H2O                                 3.00E-09    -0.50      0.0   10.41000.  5 C IN
HCO+        SiC                     HCSi+       CO                                  2.00E-09    -0.50      0.0   10.41000.  5 C IN
C+          SiC2                    SiC2+       C                                   2.00E-09    -0.50      0.0   10.  300.  5 C CE
C+          SiC                     SiC+        C                                   2.50E-09    -0.50      0.0   10.  300.  5 C CE
S+          SiC                     SiC+        S                                   3.70E-09    -0.50      0.0   10.41000.  5 C CE
C+          SiN                     SiC+        N                                   1.00E-09    -0.50      0.0   10.41000.  5 C IN
SiCH2+      E-                      HCSi        H                                   1.50E-07    -0.50      0.0   10.  300.  5 C DR
PH+         E-                      P           H                                   1.00E-07    -0.50      0.0   10.  300.  5 C DR
H2          HCP+                    PCH2+       H                                   1.00E-09     0.00      0.0   10.41000.  5 C IN
HC2P+       E-                      CP          CH                                  1.50E-07    -0.50      0.0   10.  300.  5 C DR
PCH3+       E-                      CP          H2          H                       1.50E-07    -0.50      0.0   10.  300.  5 C DR
O2          PH2+                    PO+         H2O                                 7.80E-11     0.00      0.0   10.41000.  5 A IN
HCO+        H2CCCC                  C4H3+       CO                                  1.40E-09     0.00      0.0   10.41000.  5 C IN
H3O+        H2CCCC                  C4H3+       H2O                                 1.10E-09     0.00      0.0   10.41000.  5 A IN
C+          H2CCCC                  C5H+        H                                   1.45E-09     0.00      0.0   10.41000.  5 A IN
H3+         H2CCCC                  C4H3+       H2                                  2.60E-09     0.00      0.0   10.41000.  5 A IN
H2CCCC                              C4H         H                                   1.30E-17     0.00    865.0   10.41000.  2 C CR
H2CCCC                              C2H         C2H                                 1.30E-17     0.00    865.0   10.41000.  2 C CR
H2CCCC                              C4H2+       E-                                  1.30E-17     0.00    559.5   10.41000.  2 C CR
H+          H2CCCC                  C4H+        H2                                  2.00E-09     0.00      0.0   10.41000.  5 C IN
H+          H2CCCC                  C4H2+       H                                   2.00E-09     0.00      0.0   10.41000.  5 C CE
C2H3+       C3H2                    CH3C4H+     H                                   8.00E-10    -0.50      0.0   10.41000.  5 C IN
HCO+        C6H2                    C6H3+       CO                                  1.40E-09    -0.50      0.0   10.41000.  5 C IN
H3+         C6H2                    C6H3+       H2                                  2.00E-09    -0.50      0.0   10.41000.  5 C IN
C+          C6H2                    C7H+        H                                   1.20E-09    -0.50      0.0   10.41000.  5 C IN
H+          C6H2                    C6H+        H2                                  2.00E-09    -0.50      0.0   10.41000.  5 C IN
H+          C6H2                    C6H2+       H                                   2.00E-09    -0.50      0.0   10.  300.  5 C CE
He+         C6H2                    C6+         He          H2                      1.00E-09    -0.50      0.0   10.41000.  5 C IN
C2H         H2CCCC                  C6H2        H                                   1.06E-10    -0.25      0.0   10.  300.  5 C NN
CN          C6H2                    HC7N        H                                   2.72E-10    -0.52     19.0   10.  300.  5 C NN
C3H2        C4H3+                   CH3C6H+     H                                   1.50E-09    -0.50      0.0   10.41000.  5 C IN
C2H3+       C5H2                    CH3C6H+     H                                   8.00E-10    -0.50      0.0   10.41000.  5 C IN
HCO+        C8H2                    C8H3+       CO                                  1.40E-09    -0.50      0.0   10.41000.  5 C IN
C3H3+       C5H2                    C8H3+       H2                                  1.00E-09    -0.50      0.0   10.41000.  5 C IN
H2C3H+      C5H2                    C8H3+       H2                                  1.00E-09    -0.50      0.0   10.41000.  5 C IN
H3+         C8H2                    C8H3+       H2                                  2.00E-09    -0.50      0.0   10.41000.  5 C IN
C2H3+       C6H2                    C8H3+       H2                                  3.00E-10    -0.50      0.0   10.41000.  5 C IN
C2H3+       C5H2                    C7H3+       H2                                  8.00E-10    -0.50      0.0   10.41000.  5 C IN
C+          C8H2                    C9H+        H                                   1.20E-09    -0.50      0.0   10.41000.  5 C IN
H+          C8H2                    C8H+        H2                                  2.00E-09    -0.50      0.0   10.41000.  5 C IN
H+          C8H2                    C8H2+       H                                   2.00E-09    -0.50      0.0   10.  300.  5 C CE
C2H         C6H2                    C8H2        H                                   1.06E-10    -0.25      0.0   10.  300.  5 C NN
C8H4+       E-                      C8H2        H2                                  1.00E-06    -0.30      0.0   10.  300.  5 C DR
C2H2        SO+                     H2CS+       CO                                  7.20E-10     0.00      0.0   10.41000.  5 B IN
SiN+        E-                      Si          N                                   2.00E-07    -0.50      0.0   10.  300.  5 C DR
Si+         H2CCCC                  C4H+        SiH                                 1.60E-09     0.00      0.0   10.41000.  5 A IN
PCH3+       E-                      HCP         H2                                  1.50E-07    -0.50      0.0   10.  300.  5 C DR
HC2P+       E-                      CCP         H                                   1.50E-07    -0.50      0.0   10.  300.  5 C DR
PC2H2+      E-                      CCP         H2                                  1.00E-07    -0.50      0.0   10.  300.  5 C DR
C2H2        O2+                     CH2CO+      O                                   1.30E-10     0.00      0.0   10.41000.  5 B IN
C2H2        SO+                     CH2CO+      S                                   2.04E-10     0.00      0.0   10.41000.  5 B IN
C2H2        C2H3+                   C4H3+       H2                                  7.20E-10     0.00      0.0   10.41000.  5 A IN
H+          C7H2                    C7H2+       H                                   2.50E-09    -0.50      0.0   10.  300.  5 C CE
C3H2+       H2CCCC                  C7H2+       H2                                  3.00E-10     0.00      0.0   10.41000.  5 C IN
He+         CH3C6H                  C7H2+       He          H2                      1.50E-09     0.00      0.0   10.41000.  5 C IN
C3H2+       C6H2                    C9H2+       H2                                  3.00E-10    -0.50      0.0   10.41000.  5 C IN
C3H3+       C6H2                    C9H3+       H2                                  1.00E-09    -0.50      0.0   10.41000.  5 C IN
H2C3H+      C6H2                    C9H3+       H2                                  1.00E-09    -0.50      0.0   10.41000.  5 C IN
C4H2+       C5H2                    C9H3+       H                                   2.20E-09    -0.50      0.0   10.41000.  5 C IN
PC2H2+      E-                      HC2P        H                                   1.00E-07    -0.50      0.0   10.  300.  5 C DR
H3+         C5H                     C5H2+       H2                                  4.00E-09    -0.50      0.0   10.41000.  5 C IN
C+          C4H3                    C5H2+       H                                   3.10E-10     0.00      0.0   10.  300.  5 B IN
C2H2        C3H+                    C5H2+       H                                   8.40E-10     0.00      0.0   10.41000.  5 B IN
C2H2        SiC2H+                  SiC4H+      H2                                  2.00E-11     0.00      0.0   10.41000.  5 A IN
CH4         Si+                     SiCH4+                                          4.00E-16    -1.50      0.0   10.  300.  5 C RA
N           C9H                     C9N         H                                   1.70E-11     0.00      0.0   10.  300.  5 C NN
C2H2        C2N+                    HC4N+       H                                   2.00E-10     0.00      0.0   10.41000.  5 A IN
HS2+        E-                      HS          S                                   1.50E-07    -0.50      0.0   10.  300.  5 C DR
CH3CHO      S2+                     HS2         CH3CO+                              2.20E-09    -0.50      0.0  298.  299.  5 A IN
O           H2CCC                   CO          C2H2                                5.00E-11     0.50      0.0   10.  300.  5 C NN
C2H5OH2+    E-                      C2H4        H2O         H                       1.50E-07    -0.50      0.0   10.  300.  5 C DR
C2H5OH2+    E-                      C2H5OH      H                                   1.50E-07    -0.50      0.0   10.  300.  5 C DR
H3O+        C2H5OH                  C2H5OH2+    H2O                                 2.80E-09    -0.50      0.0   10.41000.  5 A IN
HCO+        C2H5OH                  C2H5OH2+    CO                                  2.20E-09    -0.50      0.0   10.41000.  5 A IN
H2          C3O+                    HC3O+       H                                   8.00E-10     0.00      0.0   10.41000.  5 A IN
H+          C3O                     C3O+        H                                   1.00E-09    -0.50      0.0   10.41000.  5 C CE
C2H3+       CO                      H3C3O+                                          2.00E-15    -2.50      0.0   10.  300.  5 C RA
C3H5+       E-                      CH3CCH      H                                   1.50E-07    -0.50      0.0   10.  300.  5 C DR
N           C3H5+                   C2H4+       HCN                                 1.10E-10     0.00      0.0   10.41000.  5 C IN
CH4         C2H3+                   C3H5+       H2                                  2.00E-10     0.00      0.0   10.41000.  5 A IN
H3O+        CH3CCH                  C3H5+       H2O                                 1.80E-09     0.00      0.0   10.41000.  5 A IN
HCO+        CH3CCH                  C3H5+       CO                                  1.40E-09     0.00      0.0   10.41000.  5 C IN
H+          SO2                     SO2+        H                                   5.78E-09    -0.50      0.0   10.  300.  5 A CE
H3+         SO2                     HSO2+       H2                                  1.30E-09    -0.50      0.0   10.41000.  5 A IN
SO2                                 SO          O                                   1.30E-17     0.00    922.0   10.41000.  2 C CR
HSO2+       E-                      SO2         H                                   2.00E-07    -0.50      0.0   10.  300.  5 C DR
OH          SO                      SO2         H                                   8.60E-11     0.00      0.0  298.  298.  5 A NN
H2O         HSO2+                   SO2         H3O+                                2.13E-09    -0.50      0.0   10.41000.  5 A IN
H2          SO2+                    HSO2+       H                                   5.00E-11     0.00      0.0   10.41000.  5 A IN
PCH3+       E-                      P           CH3                                 3.00E-07    -0.50      0.0   10.  300.  5 C DR
CH4         PH+                     PCH3+       H2                                  1.05E-09     0.00      0.0   10.41000.  5 A IN
C8H4+       E-                      C8H         H2          H                       1.00E-06    -0.30      0.0   10.  300.  5 C DR
C3H3+       C5H2                    C8H4+       H                                   1.00E-09    -0.50      0.0   10.41000.  5 C IN
H2C3H+      C5H2                    C8H4+       H                                   1.00E-09    -0.50      0.0   10.41000.  5 C IN
C2H3+       C6H2                    C8H4+       H                                   3.00E-10    -0.50      0.0   10.41000.  5 C IN
PC2H2+      E-                      P           C2H2                                1.00E-07    -0.50      0.0   10.  300.  5 C DR
C2H2        PH+                     PC2H2+      H                                   1.30E-09     0.00      0.0   10.41000.  5 A IN
C2H4        P+                      PC2H2+      H2                                  1.20E-09     0.00      0.0   10.41000.  5 A IN
C2H2        PH2+                    PC2H2+      H2                                  1.40E-09     0.00      0.0   10.41000.  5 A IN
H3O+        C4H3                    C4H4+       H2O                                 1.00E-09     0.00      0.0   10.41000.  5 A IN
HCO+        C4H3                    C4H4+       CO                                  9.00E-10     0.00      0.0   10.41000.  5 B IN
C           C4H3                    C5H2        H                                   3.00E-10     0.00      0.0   10.  300.  5 C NN
H3+         C4H3                    C4H4+       H2                                  2.30E-09     0.00      0.0   10.  300.  5 B IN
C+          C4H3                    C3H2+       C2H                                 3.10E-10     0.00      0.0   10.  300.  5 B IN
C+          C4H3                    C5H+        H2                                  3.10E-10     0.00      0.0   10.  300.  5 B IN
C+          C4H3                    C4H3+       C                                   3.10E-10     0.00      0.0   10.  300.  5 B CE
C4H4+       E-                      C4H3        H                                   3.30E-07    -0.50      0.0   10. 1000.  5 A DR
C           CH3CCH                  C4H3        H                                   2.70E-10    -0.11      0.0   10.  300.  5 C NN
C2          C2H4                    C4H3        H                                   3.50E-10     0.00      0.0   24.  300.  5 B NN
C+          C2H5OH                  H3CO+       C2H3                                1.50E-09    -0.50      0.0   10.41000.  5 C IN
C+          C2H5OH                  C2H5OH+     C                                   1.50E-09    -0.50      0.0   10.  300.  5 C CE
H3+         C2H5OH                  CH3+        CH4         H2O                     1.50E-09    -0.50      0.0   10.41000.  5 A IN
He+         C2H5OH                  C2H5+       OH          He                      3.00E-09    -0.50      0.0   10.41000.  5 C IN
CH3CCH                              CH3CCH+     E-                                  1.30E-17     0.00   2652.5   10.41000.  2 C CR
H3+         CH3CCH                  H2C3H+      H2          H2                      2.25E-09     0.00      0.0   10.41000.  5 A IN
CH3CCH                              C3H3        H                                   1.30E-17     0.00   1642.0   10.41000.  2 C CR
C+          CH3CCH                  C4H2+       H2                                  5.70E-10     0.00      0.0   10.41000.  5 A IN
C+          CH3CCH                  CH3CCH+     C                                   5.70E-10     0.00      0.0   10.41000.  5 A CE
C+          CH3CCH                  H2C3H+      CH                                  3.80E-10     0.00      0.0   10.41000.  5 A IN
C+          CH3CCH                  C2H2+       C2H2                                1.90E-10     0.00      0.0   10.41000.  5 A IN
He+         SO2                     SO2+        He                                  4.30E-10    -0.50      0.0   10.41000.  5 A CE
C2H5OH+     E-                      C2H5        OH                                  1.50E-07    -0.50      0.0   10.  300.  5 C DR
C2H5OH+     E-                      H2CO        CH4                                 1.50E-07    -0.50      0.0   10.  300.  5 C DR
H+          C2H5OH                  C2H5OH+     H                                   3.00E-09    -0.50      0.0   10.  300.  5 C CE
C2H5OH                              C2H5OH+     E-                                  1.30E-17     0.00   1368.0   10.41000.  2 C CR
CH3CCH+     E-                      C3H3        H                                   2.56E-06    -0.67      0.0   10.  300.  5 A DR
O           CH3CCH+                 HCO+        C2H3                                2.00E-10     0.00      0.0   10.41000.  5 C IN
CH3CCH+     E-                      CH3         C2H                                 2.60E-07    -0.67      0.0   10.  300.  5 C DR
CH3CCH+     E-                      H2CCC       H           H                       1.48E-07    -0.67      0.0   10.  300.  5 C DR
H3O+        C3H3                    CH3CCH+     H2O                                 2.00E-09    -0.50      0.0   10.41000.  5 C IN
HCO+        C3H3                    CH3CCH+     CO                                  1.40E-09    -0.50      0.0   10.41000.  5 C IN
H+          CH3CCH                  CH3CCH+     H                                   2.00E-09     0.00      0.0   10.41000.  5 C CE
C2H4        C3H2+                   CH3CCH+     C2H2                                6.60E-10     0.00      0.0   10.41000.  5 A IN
O           C2H5                    CH3CHO      H                                   1.33E-10     0.00      0.0   10. 2500.  5 A NN
O           C2H5                    H2CO        CH3                                 2.67E-11     0.00      0.0   10. 2500.  5 A NN
C2H5OH                              C2H5        OH                                  1.30E-17     0.00   2153.5   10.41000.  2 C CR
H3+         CH3OH                   CH3OH2+     H2                                  8.40E-10    -0.50      0.0   10.41000.  5 A IN
NH3         O2+                     O2          NH3+                                2.00E-09    -0.50      0.0   10.41000.  5 A CE
O2+         H2S                     H2S+        O2                                  1.40E-09    -0.50      0.0   10.41000.  5 A CE
C3H2                                C3H         H                                   1.30E-17     0.00   2500.0   10.41000.  2 A CR
CH          O2                      CO          OH                                  2.60E-11     0.00      0.0  298.  298.  5 A NN
C3H2+       E-                      C2H2        C                                   3.00E-08    -0.50      0.0   10.  300.  5 C DR
H+          C3H2                    C3H2+       H                                   2.00E-09    -0.50      0.0   10.41000.  5 C CE
C5                                  C4          C                                   1.30E-17     0.00    500.0   10.41000.  2 A CR
HCO+        C6H                     C6H2+       CO                                  2.00E-09    -0.50      0.0   10.41000.  5 C IN
C7                                  C6          C                                   1.30E-17     0.00    500.0   10.41000.  2 B CR
H3+         CH3CHO                  C2H5+       H2O                                 7.59E-10    -0.50      0.0   10.41000.  5 A IN
C2H4        O2+                     C2H4+       O2                                  6.80E-10     0.00      0.0   10.41000.  5 A IN
C+          NH                      CN+         H                                   7.80E-10    -0.50      0.0   10.41000.  5 C IN
HCO+        NCCN                    NCCNH+      CO                                  1.30E-09     0.00      0.0   10.41000.  5 C IN
H3+         NCCN                    NCCNH+      H2                                  2.80E-09     0.00      0.0   10.41000.  5 A IN
NCCNH+      E-                      NCCN        H                                   3.00E-07    -0.50      0.0   10.  300.  5 C DR
NO          S+                      S           NO+                                 3.70E-10     0.00      0.0   10.41000.  5 A CE
O2+         S                       S+          O2                                  5.40E-10     0.00      0.0   10.41000.  5 C CE
He+         SO2                     S+          O2          He                      9.00E-10    -0.50      0.0   10.41000.  5 A IN
He+         SO                      S+          O           He                      8.30E-10    -0.50      0.0   10.41000.  5 C IN
C+          C4H                     C5+         H                                   1.00E-09    -0.50      0.0   10.41000.  5 C IN
He+         C5H2                    C5+         He          H2                      1.00E-09    -0.50      0.0   10.41000.  5 C IN
He+         C3O                     C3+         O           He                      1.00E-09    -0.50      0.0   10.41000.  5 C IN
C9                                  C8          C                                   1.30E-17     0.00    500.0   10.41000.  2 B CR
C5                                  C3          C2                                  1.30E-17     0.00    500.0   10.41000.  2 A CR
He+         C3O                     CO          C2+         He                      1.00E-09    -0.50      0.0   10.41000.  5 C IN
N           PO                      P           NO                                  2.55E-12     0.00      0.0   10.  300.  5 C NN
NO          HS+                     HS          NO+                                 4.50E-10     0.00      0.0   10.41000.  5 A CE
NO          O2+                     O2          NO+                                 4.60E-10     0.00      0.0   10.41000.  5 A CE
NO                                  NO+         E-                                  1.30E-17     0.00    247.0   10.41000.  2 C CR
CH3         Si+                     HCSi+       H2                                  1.00E-09     0.00      0.0   10.41000.  5 C IN
